date,total cases,recovery,death,active cases
September 27,1339232,1030015,35989,273228
September 28,1351153,1049947,36173,265033
September 29,1366129,1069159,36607,260363
September 30,1384446,1088322,37091,259033
October 1,1400922,1104426,37490,259006
October 2,1416513,1117720,37917,260876
October 3,1430861,1134555,38198,258108
October 4,1443409,1149603,38504,255302
October 5,1453639,1162585,38790,252264
October 6,1465911,1179726,39162,247023
